Book,Time,Action,Bonus,Change,Book Balance,Net Balance
Fanduel,2021-04-01 14:48:00,Deposit,,50.0,50.0,50.0
Fanduel,2021-04-01 15:11:00,Wager,,-5.0,45.0,45.0
Fanduel,2021-04-01 15:23:00,Winnings,Bonus,50.0,95.0,95.0
Fanduel,2021-04-01 15:29:00,Wager,,-10.0,85.0,85.0
Fanduel,2021-04-02 12:45:00,Winnings,Bonus,10.0,95.0,95.0
Fanduel,2021-04-03 23:23:00,Winnings,,5.45,100.45,100.45
Fanduel,2021-04-04 17:44:00,Wager,,-10.0,90.45,90.45
Fanduel,2021-04-05 11:09:00,Winnings,Bonus,10.0,100.45,100.45
Fanduel,2021-04-05 17:24:00,Wager,,-10.0,90.45,90.45
Fanduel,2021-04-05 23:30:00,Winnings,,26.8,117.25,117.25
Fanduel,2021-04-06 17:22:00,Winnings,Bonus,195.0,312.25,312.25
Fanduel,2021-04-08 11:57:00,Wager,,-5.0,307.25,307.25
Fanduel,2021-04-08 11:58:00,Wager,,-5.0,302.25,302.25
Fanduel,2021-04-08 19:23:00,Winnings,,10.8,313.05,313.05
Fanduel,2021-04-11 15:30:00,Wager,,-0.1,312.95,312.95
Fanduel,2021-04-17 20:56:00,Wager,,-6.85,306.1,306.1
Fanduel,2021-04-18 10:42:00,Wager,,-2.5,303.6,303.6
Fanduel,2021-04-18 16:47:00,Wager,,-5.0,298.6,298.6
Fanduel,2021-04-18 22:21:00,Winnings,,13.0,311.6,311.6
Fanduel,2021-04-19 17:23:00,Wager,,-2.0,309.6,309.6
Fanduel,2021-04-20 16:28:00,Wager,,-8.0,301.6,301.6
Fanduel,2021-04-24 11:25:00,Wager,,-5.0,296.6,296.6
Fanduel,2021-04-24 19:09:00,Winnings,,8.97,305.57,305.57
Fanduel,2021-04-26 14:31:00,Wager,,-5.0,300.57,300.57
Fanduel,2021-04-27 16:55:00,Wager,,-5.0,295.57,295.57
Fanduel,2021-04-27 23:11:00,Winnings,,9.1,304.67,304.67
Fanduel,2021-04-28 16:59:00,Wager,,-5.0,299.67,299.67
Fanduel,2021-04-28 21:34:00,Wager,,-5.0,294.67,294.67
Fanduel,2021-04-28 21:45:00,Winnings,,2.3,296.97,296.97
Fanduel,2021-04-28 23:07:00,Winnings,,13.25,310.22,310.22
Fanduel,2021-04-29 22:22:00,Wager,,-25.0,285.22,285.22
Fanduel,2021-04-29 22:24:00,Winnings,,25.0,310.22,310.22
Fanduel,2021-04-29 22:24:00,Wager,,-25.0,285.22,285.22
Fanduel,2021-04-29 22:24:00,Winnings,Bonus,10.0,295.22,295.22
Fanduel,2021-05-04 00:15:00,Wager,,-5.0,290.22,290.22
Fanduel,2021-05-04 20:27:00,Wager,,5.0,295.22,295.22
Fanduel,2021-05-06 11:35:00,Wager,,-5.0,290.22,290.22
Fanduel,2021-05-07 14:00:00,Wager,,-5.0,285.22,285.22
Fanduel,2021-05-11 15:40:00,Wager,,-5.0,280.22,280.22
Fanduel,2021-05-11 23:37:00,Winnings,,10.7,290.92,290.92
Fanduel,2021-05-12 16:24:00,Wager,,-5.0,285.92,285.92
Fanduel,2021-05-14 12:47:00,Wager,,-5.0,280.92,280.92
Fanduel,2021-05-14 14:32:00,Wager,,-2.0,278.92,278.92
Fanduel,2021-05-16 18:48:00,Wager,,-3.0,275.92,275.92
Fanduel,2021-05-19 18:56:00,Wager,,-10.0,265.92,265.92
Fanduel,2021-05-20 00:42:00,Winnings,Bonus,10.0,275.92,275.92
Fanduel,2021-05-21 12:52:00,Wager,,-5.0,270.92,270.92
Fanduel,2021-05-22 10:39:00,Wager,,-5.0,265.92,265.92
Fanduel,2021-05-22 22:04:00,Winnings,,9.63,275.55,275.55
Fanduel,2021-05-23 10:47:00,Wager,,-4.0,271.55,271.55
Fanduel,2021-05-23 15:45:00,Winnings,,7.64,279.19,279.19
Fanduel,2021-05-23 18:07:00,Winnings,,4.0,279.19,279.19
Fanduel,2021-05-23 18:07:00,Wager,,-4.0,275.19,275.19
Fanduel,2021-05-23 18:08:00,Wager,,-2.0,277.19,277.19
Fanduel,2021-05-25 11:24:00,Wager,,-5.0,272.19,272.19
Fanduel,2021-06-06 12:41:00,Wager,,-5.0,267.19,267.19
Fanduel,2021-06-12 09:43:00,Wager,,-15.0,252.19,252.19
Fanduel,2021-07-01 12:29:00,Wager,,-5.0,247.19,247.19
Fanduel,2021-07-09 16:31:00,Wager,,-2.0,245.19,245.19
Fanduel,2021-07-10 14:14:00,Wager,,-10.0,235.19,235.19
Fanduel,2021-07-11 00:32:00,Winnings,,17.94,253.13,253.13
Fanduel,2021-07-23 21:16:00,Wager,,-3.0,250.13,250.13
Fanduel,2021-08-23 12:34:00,Winnings,Bonus,-85.55,164.58,164.58
Fanduel,2021-08-26 10:59:00,Winnings,Bonus,5.0,169.58,169.58
Fanduel,2021-08-28 17:59:00,Wager,,-10.0,159.58,159.58
Fanduel,2021-08-28 18:01:00,Winnings,,10.0,169.58,169.58
Fanduel,2021-08-28 18:04:00,Wager,,-10.0,159.58,159.58
Fanduel,2021-08-28 21:02:00,Winnings,Bonus,10.0,169.58,169.58
Fanduel,2021-09-01 21:28:00,Wager,,-10.0,159.58,159.58
Fanduel,2021-09-02 11:55:00,Winnings,Bonus,-5.0,154.58,154.58
Fanduel,2021-09-04 22:50:00,Winnings,Bonus,10.0,164.58,164.58
Fanduel,2021-09-07 10:26:00,Wager,,-50.0,114.58,114.58
Fanduel,2021-09-07 10:31:00,Wager,,-10.0,104.58,104.58
Fanduel,2021-09-11 18:28:00,Winnings,Bonus,150.0,254.58,254.58
Fanduel,2021-09-12 23:12:00,Winnings,Bonus,10.0,264.58,264.58
Fanduel,2021-09-13 14:40:00,Wager,,-10.0,254.58,254.58
Fanduel,2021-09-13 22:53:00,Winnings,,19.26,273.84,273.84
Fanduel,2021-09-15 17:51:00,Wager,,-5.0,268.84,268.84
Fanduel,2021-09-15 22:51:00,Winnings,,12.5,281.34,281.34
Fanduel,2021-09-17 13:33:00,Wager,,-1.0,280.34,280.34
Fanduel,2021-09-19 11:17:00,Wager,,-10.0,270.34,270.34
Fanduel,2021-09-19 11:20:00,Wager,,-10.0,260.34,260.34
Fanduel,2021-09-19 14:45:00,Winnings,,19.52,279.86,279.86
Fanduel,2021-09-19 15:57:00,Winnings,Bonus,10.0,289.86,289.86
Fanduel,2021-09-20 12:07:00,Winnings,Bonus,5.0,294.86,294.86
Fanduel,2021-09-21 12:11:00,Wager,,-0.86,294.0,294.0
Fanduel,2021-09-23 09:06:00,Wager,,-10.0,284.0,284.0
Fanduel,2021-09-23 17:43:00,Winnings,,19.8,303.8,303.8
Fanduel,2021-09-24 10:12:00,Wager,,-5.0,298.8,298.8
Fanduel,2021-09-24 10:13:00,Wager,,-3.0,295.8,295.8
Fanduel,2021-09-24 17:00:00,Winnings,,8.42,304.22,304.22
Fanduel,2021-09-24 17:57:00,Winnings,,3.0,307.22,307.22
